t	#	1
v	0	0
v	1	1
v	2	0
v	3	2
v	4	3
v	5	3
v	6	0
v	7	1
v	8	3
v	9	4
v	10	1
v	11	0
v	12	2
v	13	1
v	14	2
v	15	1
v	16	2
v	17	5
v	18	0
v	19	0
v	20	0
v	21	1
v	22	1
v	23	2
v	24	1
v	25	5
v	26	2
v	27	0
v	28	1
v	29	5
v	30	5
v	31	5
v	32	5
v	33	0
v	34	1
v	35	0
v	36	3
v	37	1
v	38	0
v	39	0
v	40	0
v	41	0
v	42	0
v	43	0
v	44	0
v	45	0
v	46	0
v	47	0
v	48	1
v	49	0
v	50	1
v	51	1
v	52	0
v	53	4
v	54	1
v	55	2
v	56	5
v	57	2
v	58	1
v	59	0
v	60	2
v	61	4
v	62	1
v	63	3
v	64	0
v	65	1
v	66	1
v	67	1
v	68	2
v	69	1
v	70	0
v	71	0
v	72	0
v	73	2
v	74	5
v	75	0
v	76	0
v	77	5
v	78	5
v	79	1
v	80	2
v	81	0
v	82	1
v	83	5
v	84	0
v	85	1
v	86	2
v	87	3
v	88	1
v	89	0
v	90	5
v	91	4
v	92	0
v	93	1
v	94	1
v	95	1
v	96	5
v	97	3
v	98	1
v	99	0
v	100	1
v	101	0
v	102	5
v	103	1
v	104	0
v	105	1
v	106	1
v	107	1
v	108	2
v	109	0
v	110	0
v	111	0
v	112	2
v	113	3
v	114	0
v	115	0
v	116	0
v	117	2
v	118	1
v	119	0
v	120	2
v	121	0
v	122	1
v	123	5
v	124	3
v	125	0
v	126	3
v	127	1
v	128	2
v	129	4
v	130	5
v	131	0
v	132	0
v	133	0
v	134	3
v	135	4
v	136	0
v	137	0
v	138	0
v	139	0
v	140	3
v	141	0
v	142	0
v	143	4
v	144	0
v	145	0
v	146	0
v	147	1
v	148	0
v	149	2
v	150	2
v	151	1
v	152	1
v	153	1
v	154	1
v	155	1
v	156	1
v	157	1
v	158	0
v	159	5
v	160	0
v	161	4
v	162	5
v	163	0
v	164	2
v	165	0
v	166	0
v	167	1
v	168	2
v	169	4
v	170	0
v	171	0
v	172	5
v	173	3
v	174	0
v	175	5
v	176	1
v	177	0
v	178	1
v	179	5
v	180	1
v	181	0
v	182	1
v	183	5
v	184	1
v	185	0
v	186	0
v	187	0
v	188	0
v	189	1
v	190	0
v	191	5
v	192	0
v	193	0
v	194	1
v	195	4
v	196	0
v	197	0
v	198	0
v	199	0
v	200	1
v	201	3
v	202	0
v	203	0
v	204	0
v	205	1
v	206	1
v	207	4
v	208	0
v	209	0
v	210	4
v	211	0
v	212	1
v	213	1
v	214	0
v	215	5
v	216	1
v	217	3
v	218	5
v	219	1
v	220	1
v	221	1
v	222	1
v	223	1
v	224	1
v	225	4
v	226	0
v	227	1
v	228	1
v	229	0
v	230	0
v	231	1
v	232	1
v	233	1
v	234	1
v	235	1
v	236	1
v	237	0
v	238	2
v	239	0
v	240	0
v	241	0
v	242	0
v	243	5
v	244	1
v	245	0
v	246	0
v	247	0
v	248	1
v	249	4
v	250	0
v	251	1
v	252	0
v	253	1
v	254	1
v	255	0
v	256	1
v	257	1
v	258	0
v	259	1
v	260	0
v	261	1
v	262	5
v	263	3
v	264	0
v	265	1
v	266	5
v	267	1
v	268	5
v	269	3
v	270	3
v	271	0
v	272	5
v	273	3
v	274	5
v	275	1
v	276	1
v	277	0
v	278	5
v	279	4
v	280	3
v	281	0
v	282	0
v	283	3
v	284	5
v	285	5
v	286	5
v	287	0
v	288	3
v	289	3
v	290	3
v	291	1
v	292	1
v	293	4
v	294	3
v	295	1
v	296	1
v	297	5
v	298	3
v	299	1
v	300	4
v	301	2
v	302	1
v	303	1
v	304	1
v	305	5
v	306	0
v	307	0
v	308	2
v	309	4
v	310	1
v	311	2
v	312	0
v	313	0
v	314	0
v	315	0
v	316	0
v	317	1
v	318	1
v	319	0
v	320	0
v	321	1
v	322	1
v	323	0
v	324	2
v	325	2
v	326	2
v	327	2
v	328	3
v	329	3
v	330	3
v	331	2
v	0	99	-1
v	0	111	-1
v	1	153	-1
v	5	36	-1
v	5	63	-1
v	5	97	-1
v	6	64	-1
v	9	158	-1
v	9	202	-1
v	9	260	-1
v	13	250	-1
v	16	145	-1
v	18	59	-1
v	20	6	-1
v	22	118	-1
v	22	303	-1
v	23	309	-1
v	24	127	-1
v	25	69	-1
v	28	48	-1
v	28	54	-1
v	28	105	-1
v	28	106	-1
v	28	153	-1
v	31	297	-1
v	33	260	-1
v	34	180	-1
v	35	92	-1
v	37	182	-1
v	37	310	-1
v	40	146	-1
v	40	148	-1
v	40	177	-1
v	47	213	-1
v	48	106	-1
v	53	161	-1
v	53	309	-1
v	57	157	-1
v	58	180	-1
v	58	302	-1
v	64	91	-1
v	64	210	-1
v	64	239	-1
v	65	152	-1
v	67	54	-1
v	67	105	-1
v	67	176	-1
v	71	190	-1
v	79	37	-1
v	79	103	-1
v	79	278	-1
v	86	26	-1
v	86	262	-1
v	86	272	-1
v	88	152	-1
v	88	154	-1
v	97	5	-1
v	97	36	-1
v	97	63	-1
v	102	267	-1
v	104	129	-1
v	104	131	-1
